epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8824,2.35975,2.59321,1.78834,0.34301,0.23866,0.20378,0.07521,2.48577,2.21679,1.84717,0.000661376,0.000661376,0.000661376
2,46.9914,2.17925,1.8067,1.65216,0.35845,0.20572,0.20871,0.07199,2.59814,2.29093,1.93272,0.00130175,0.00130175,0.00130175
3,69.777,2.1212,1.69483,1.62344,0.35061,0.25855,0.25287,0.09479,2.42147,2.18484,1.82526,0.00191572,0.00191572,0.00191572
4,92.5757,2.06977,1.66975,1.58847,0.52246,0.34556,0.37634,0.15847,2.30198,1.68418,1.67137,0.0018812,0.0018812,0.0018812
5,115.283,2.0367,1.61888,1.57124,0.60319,0.36358,0.43931,0.20443,1.97898,1.51242,1.54906,0.0018416,0.0018416,0.0018416
6,138.11,1.98979,1.55272,1.54061,0.57055,0.35736,0.40301,0.19164,2.02145,1.56949,1.56035,0.001802,0.001802,0.001802
7,160.762,1.93027,1.51153,1.50412,0.57087,0.41206,0.45747,0.2153,1.94128,1.44655,1.52467,0.0017624,0.0017624,0.0017624
8,183.464,1.91017,1.46245,1.47835,0.61178,0.40841,0.47029,0.21802,1.95683,1.45769,1.46384,0.0017228,0.0017228,0.0017228
9,206.158,1.86692,1.4531,1.45068,0.5654,0.42324,0.47532,0.20336,2.0141,1.49255,1.56109,0.0016832,0.0016832,0.0016832
10,228.773,1.82618,1.41977,1.43267,0.6502,0.42262,0.50822,0.24557,1.83854,1.35482,1.4238,0.0016436,0.0016436,0.0016436
11,251.542,1.85694,1.40551,1.44066,0.53465,0.40559,0.44545,0.21892,1.88868,1.47372,1.45895,0.001604,0.001604,0.001604
12,274.255,1.8297,1.41379,1.43803,0.65625,0.43505,0.52312,0.24979,1.85377,1.32727,1.42887,0.0015644,0.0015644,0.0015644
13,297.071,1.79685,1.36737,1.40536,0.6381,0.46793,0.53731,0.26383,1.81049,1.31364,1.39462,0.0015248,0.0015248,0.0015248
14,319.735,1.77973,1.33564,1.3865,0.63807,0.48726,0.54853,0.26804,1.83209,1.26757,1.39147,0.0014852,0.0014852,0.0014852
15,342.498,1.7694,1.31671,1.38796,0.66475,0.45743,0.53901,0.25453,1.8502,1.30591,1.40944,0.0014456,0.0014456,0.0014456
16,365.173,1.73676,1.28462,1.36556,0.67056,0.45059,0.54263,0.25759,1.86627,1.30199,1.42772,0.001406,0.001406,0.001406
17,387.894,1.75848,1.29505,1.3673,0.65134,0.50155,0.57514,0.28597,1.76508,1.2174,1.372,0.0013664,0.0013664,0.0013664
18,410.655,1.70101,1.24407,1.348,0.69441,0.47545,0.57013,0.28485,1.74521,1.22619,1.3546,0.0013268,0.0013268,0.0013268
