epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4654,1.37203,1.42612,1.16837,0.54574,0.44533,0.46943,0.27285,1.57147,1.56313,1.33799,0.000661376,0.000661376,0.000661376
2,48.3751,1.51558,1.24572,1.26571,0.44527,0.37243,0.34517,0.17811,1.55059,2.11416,1.29617,0.00130175,0.00130175,0.00130175
3,71.1027,1.57848,1.28902,1.28669,0.658,0.56726,0.63293,0.34546,1.5342,1.26636,1.32637,0.00191572,0.00191572,0.00191572
4,93.8779,1.54771,1.20949,1.27098,0.60224,0.56528,0.59363,0.32394,1.53875,1.46094,1.28104,0.0018812,0.0018812,0.0018812
5,116.614,1.47942,1.15668,1.25175,0.71847,0.56262,0.65648,0.36654,1.49845,1.19102,1.2787,0.0018416,0.0018416,0.0018416
6,139.407,1.46838,1.1235,1.23261,0.71349,0.61233,0.6877,0.39404,1.42556,1.07589,1.22393,0.001802,0.001802,0.001802
7,162.028,1.4006,1.08811,1.20099,0.69179,0.5772,0.67646,0.39845,1.39906,1.12698,1.22151,0.0017624,0.0017624,0.0017624
8,184.756,1.39519,1.06968,1.19105,0.76084,0.65778,0.7447,0.44724,1.32829,0.97562,1.1746,0.0017228,0.0017228,0.0017228
9,207.437,1.36531,1.02766,1.17413,0.76105,0.67541,0.76198,0.44987,1.30526,0.99015,1.15918,0.0016832,0.0016832,0.0016832
10,230.059,1.34258,1.00428,1.16719,0.78499,0.67744,0.75752,0.44391,1.33769,0.96361,1.17423,0.0016436,0.0016436,0.0016436
11,252.664,1.31616,0.97554,1.14679,0.75624,0.6786,0.76676,0.47018,1.26767,0.91712,1.13256,0.001604,0.001604,0.001604
12,275.41,1.2982,0.96002,1.14131,0.76862,0.69914,0.77193,0.47261,1.27092,0.9063,1.1481,0.0015644,0.0015644,0.0015644
13,298.14,1.27306,0.93096,1.14243,0.78772,0.69838,0.78877,0.487,1.25351,0.884,1.13406,0.0015248,0.0015248,0.0015248
14,320.858,1.26144,0.90576,1.12396,0.7888,0.68064,0.77223,0.47931,1.23523,0.88507,1.12154,0.0014852,0.0014852,0.0014852
15,343.402,1.23575,0.8983,1.11713,0.80637,0.7104,0.80147,0.5023,1.2212,0.83857,1.11293,0.0014456,0.0014456,0.0014456
16,366.123,1.23594,0.89033,1.11833,0.80396,0.70908,0.78967,0.50385,1.20008,0.8585,1.09523,0.001406,0.001406,0.001406
17,388.803,1.21016,0.87411,1.10514,0.81253,0.68854,0.80177,0.50396,1.20361,0.83647,1.1047,0.0013664,0.0013664,0.0013664
18,411.584,1.1952,0.85059,1.09454,0.79793,0.73532,0.81664,0.5227,1.17099,0.81517,1.0814,0.0013268,0.0013268,0.0013268
19,434.314,1.1922,0.84013,1.09093,0.82063,0.72763,0.80754,0.50606,1.18434,0.83496,1.09805,0.0012872,0.0012872,0.0012872
20,456.99,1.17015,0.82738,1.07426,0.82562,0.73161,0.8236,0.53814,1.13598,0.78539,1.06474,0.0012476,0.0012476,0.0012476
21,479.659,1.16167,0.82972,1.0822,0.82665,0.72369,0.81519,0.52435,1.15089,0.80077,1.0784,0.001208,0.001208,0.001208
22,502.281,1.15552,0.80734,1.07215,0.83078,0.75153,0.83512,0.54619,1.1483,0.75634,1.06939,0.0011684,0.0011684,0.0011684
23,525.011,1.15105,0.80753,1.06868,0.83501,0.75679,0.834,0.54295,1.13922,0.76856,1.06588,0.0011288,0.0011288,0.0011288
24,547.608,1.10751,0.76342,1.05417,0.84381,0.72565,0.83041,0.54479,1.12209,0.77452,1.05963,0.0010892,0.0010892,0.0010892
25,570.244,1.1109,0.76655,1.05621,0.84141,0.74619,0.8387,0.55255,1.11552,0.7531,1.05569,0.0010496,0.0010496,0.0010496
26,592.992,1.11457,0.75975,1.05814,0.83765,0.75679,0.83566,0.54462,1.14298,0.74854,1.08294,0.00101,0.00101,0.00101
27,615.666,1.10512,0.74888,1.04951,0.83912,0.75354,0.83959,0.55654,1.09987,0.74287,1.0424,0.0009704,0.0009704,0.0009704
28,638.388,1.10344,0.75218,1.04508,0.84107,0.75878,0.84478,0.55746,1.10334,0.74318,1.047,0.0009308,0.0009308,0.0009308
29,661.09,1.06043,0.72328,1.02808,0.83501,0.7613,0.84063,0.55352,1.10083,0.73603,1.04751,0.0008912,0.0008912,0.0008912
30,683.689,1.07297,0.71664,1.03271,0.80032,0.74751,0.82325,0.54772,1.09968,0.75849,1.05178,0.0008516,0.0008516,0.0008516
31,706.27,1.04906,0.70285,1.02067,0.84465,0.76386,0.84462,0.56975,1.0696,0.70071,1.02688,0.000812,0.000812,0.000812
32,728.985,1.03013,0.69348,1.01716,0.84723,0.76673,0.85635,0.56878,1.09141,0.70634,1.05169,0.0007724,0.0007724,0.0007724
33,751.678,1.03465,0.68781,1.01953,0.8594,0.78264,0.86655,0.57393,1.0909,0.69608,1.04283,0.0007328,0.0007328,0.0007328
34,774.405,1.02412,0.67599,1.01059,0.85273,0.77511,0.85821,0.57764,1.07608,0.68217,1.04035,0.0006932,0.0006932,0.0006932
