epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7974,1.36577,1.58319,1.19844,0.55727,0.54414,0.54063,0.31289,1.35267,1.35386,1.24615,0.000661376,0.000661376,0.000661376
2,47.0854,1.41721,1.20289,1.22392,0.6363,0.57357,0.62665,0.35232,1.40006,1.53661,1.27675,0.00130175,0.00130175,0.00130175
3,69.9515,1.43101,1.17346,1.23733,0.60139,0.59459,0.6181,0.34587,1.43958,1.26802,1.26966,0.00191572,0.00191572,0.00191572
4,92.4502,1.3898,1.12519,1.21953,0.63266,0.52012,0.58451,0.33056,1.50508,1.33439,1.32363,0.0018812,0.0018812,0.0018812
5,115.148,1.31217,1.05068,1.1866,0.73891,0.62462,0.70927,0.40942,1.35683,1.07393,1.23007,0.0018416,0.0018416,0.0018416
6,137.93,1.3053,1.02169,1.17748,0.72513,0.63544,0.70413,0.43869,1.22564,0.99764,1.1515,0.001802,0.001802,0.001802
7,160.727,1.25138,0.96744,1.15446,0.77997,0.67207,0.76228,0.47734,1.18901,0.99658,1.13981,0.0017624,0.0017624,0.0017624
8,183.47,1.23884,0.95057,1.1409,0.74248,0.64204,0.73453,0.46705,1.18068,0.97878,1.13939,0.0017228,0.0017228,0.0017228
9,206.118,1.19489,0.92593,1.12343,0.73192,0.69689,0.7718,0.49749,1.12717,0.93822,1.11006,0.0016832,0.0016832,0.0016832
10,228.904,1.17156,0.90326,1.12058,0.76815,0.67568,0.76058,0.49444,1.14325,0.93838,1.1105,0.0016436,0.0016436,0.0016436
11,251.564,1.15969,0.87068,1.10743,0.77209,0.72252,0.79625,0.51306,1.09759,0.8548,1.0888,0.001604,0.001604,0.001604
12,274.319,1.1413,0.87202,1.11144,0.78165,0.72072,0.80132,0.51585,1.11142,0.84805,1.09356,0.0015644,0.0015644,0.0015644
13,297.027,1.10833,0.83325,1.09616,0.80651,0.70691,0.80074,0.52672,1.083,0.83763,1.08271,0.0015248,0.0015248,0.0015248
14,319.71,1.10689,0.82644,1.08414,0.74685,0.70877,0.78536,0.51939,1.10186,0.83491,1.09891,0.0014852,0.0014852,0.0014852
15,342.347,1.08466,0.81279,1.0716,0.78844,0.73754,0.80964,0.53895,1.04887,0.80557,1.06385,0.0014456,0.0014456,0.0014456
16,365.066,1.07328,0.80734,1.06809,0.75995,0.67928,0.77256,0.50712,1.09815,0.91297,1.07933,0.001406,0.001406,0.001406
17,387.751,1.05145,0.7748,1.05584,0.78976,0.73777,0.82174,0.55668,1.02394,0.75739,1.04623,0.0013664,0.0013664,0.0013664
18,410.561,1.04377,0.7631,1.05284,0.81124,0.74775,0.83419,0.56949,1.00238,0.74159,1.03937,0.0013268,0.0013268,0.0013268
19,433.34,1.04206,0.75566,1.0535,0.71546,0.7039,0.76438,0.52129,1.02334,0.93428,1.05817,0.0012872,0.0012872,0.0012872
20,456.058,1.02086,0.74681,1.04409,0.82306,0.7711,0.8431,0.56675,1.019,0.73667,1.04543,0.0012476,0.0012476,0.0012476
21,478.634,1.0202,0.73207,1.03829,0.85176,0.74234,0.85,0.58114,0.98653,0.70965,1.0301,0.001208,0.001208,0.001208
22,501.325,1.00959,0.72411,1.02578,0.84396,0.73694,0.84532,0.56659,1.02392,0.74275,1.04647,0.0011684,0.0011684,0.0011684
23,523.972,0.98559,0.69593,1.03063,0.83171,0.77718,0.85018,0.58255,1.00152,0.7122,1.04734,0.0011288,0.0011288,0.0011288
24,546.694,0.98489,0.70467,1.0252,0.83062,0.76578,0.8555,0.58535,0.96759,0.69678,1.02678,0.0010892,0.0010892,0.0010892
25,569.353,0.96538,0.69429,1.01877,0.81975,0.77477,0.85054,0.58413,0.98657,0.68653,1.03332,0.0010496,0.0010496,0.0010496
26,592.097,0.98371,0.69961,1.02162,0.83871,0.79099,0.86238,0.60161,0.94977,0.66466,1.01286,0.00101,0.00101,0.00101
27,614.798,0.95577,0.67547,1.01752,0.86271,0.76988,0.85987,0.58825,0.97289,0.6816,1.0316,0.0009704,0.0009704,0.0009704
28,637.508,0.95123,0.67205,1.00559,0.85442,0.77198,0.86498,0.60691,0.94098,0.65689,1.01479,0.0009308,0.0009308,0.0009308
29,660.261,0.9446,0.6589,1.00849,0.85534,0.78124,0.8717,0.60435,0.95094,0.64381,1.02099,0.0008912,0.0008912,0.0008912
30,682.832,0.92543,0.65417,1.0042,0.8265,0.80781,0.86822,0.6062,0.93781,0.63923,1.01249,0.0008516,0.0008516,0.0008516
31,705.398,0.92112,0.63999,0.99897,0.83687,0.79099,0.86329,0.60215,0.94719,0.65736,1.01148,0.000812,0.000812,0.000812
32,728.08,0.89984,0.62761,0.99046,0.83544,0.7982,0.87012,0.6102,0.93492,0.63687,1.01044,0.0007724,0.0007724,0.0007724
33,750.824,0.9122,0.63338,0.9976,0.85528,0.788,0.87436,0.61593,0.92674,0.64145,1.00694,0.0007328,0.0007328,0.0007328
34,773.475,0.88232,0.60746,0.98315,0.83277,0.8036,0.87304,0.61715,0.93476,0.62567,1.00517,0.0006932,0.0006932,0.0006932
